ts_mono,ts_wall,image_name
6350.130177,1777547909.164608,frame_6350.130177.jpg
6350.242681,1777547909.277126,frame_6350.242681.jpg
6350.354239,1777547909.388673,frame_6350.354239.jpg
6350.467967,1777547909.502399,frame_6350.467967.jpg
6350.578449,1777547909.612889,frame_6350.578449.jpg
6350.690089,1777547909.724529,frame_6350.690089.jpg
6350.803338,1777547909.837765,frame_6350.803338.jpg
6350.914644,1777547909.949086,frame_6350.914644.jpg
6351.025995,1777547910.060445,frame_6351.025995.jpg
6351.138843,1777547910.173279,frame_6351.138843.jpg
6351.250536,1777547910.284977,frame_6351.250536.jpg
6351.362065,1777547910.396496,frame_6351.362065.jpg
6351.474580,1777547910.509005,frame_6351.474580.jpg
6351.586534,1777547910.620974,frame_6351.586534.jpg
6351.698396,1777547910.732836,frame_6351.698396.jpg
6351.809955,1777547910.844381,frame_6351.809955.jpg
6351.922525,1777547910.956967,frame_6351.922525.jpg
6352.034423,1777547911.068866,frame_6352.034423.jpg
6352.146484,1777547911.180913,frame_6352.146484.jpg
6352.258626,1777547911.293066,frame_6352.258626.jpg
6352.370300,1777547911.404736,frame_6352.370300.jpg
6352.482161,1777547911.516588,frame_6352.482161.jpg
6352.594124,1777547911.628563,frame_6352.594124.jpg
6352.706306,1777547911.740743,frame_6352.706306.jpg
6352.818326,1777547911.852755,frame_6352.818326.jpg
6352.930571,1777547911.965012,frame_6352.930571.jpg
6353.042143,1777547912.076579,frame_6353.042143.jpg
6353.154623,1777547912.189065,frame_6353.154623.jpg
6353.266660,1777547912.301103,frame_6353.266660.jpg
6353.378102,1777547912.412538,frame_6353.378102.jpg
6353.490377,1777547912.524823,frame_6353.490377.jpg
6353.602538,1777547912.636984,frame_6353.602538.jpg
6353.714076,1777547912.748504,frame_6353.714076.jpg
6353.826806,1777547912.861251,frame_6353.826806.jpg
6353.938440,1777547912.972879,frame_6353.938440.jpg
6354.050137,1777547913.084562,frame_6354.050137.jpg
6354.162513,1777547913.196954,frame_6354.162513.jpg
6354.274430,1777547913.308868,frame_6354.274430.jpg
6354.386363,1777547913.420793,frame_6354.386363.jpg
6354.498626,1777547913.533068,frame_6354.498626.jpg
6354.609990,1777547913.644437,frame_6354.609990.jpg
6354.722713,1777547913.757156,frame_6354.722713.jpg
6354.834567,1777547913.869008,frame_6354.834567.jpg
6354.946156,1777547913.980590,frame_6354.946156.jpg
6355.058848,1777547914.093286,frame_6355.058848.jpg
6355.170665,1777547914.205117,frame_6355.170665.jpg
6355.281990,1777547914.316446,frame_6355.281990.jpg
6355.394727,1777547914.429160,frame_6355.394727.jpg
6355.506669,1777547914.541111,frame_6355.506669.jpg
6355.618161,1777547914.652596,frame_6355.618161.jpg
6355.730759,1777547914.765202,frame_6355.730759.jpg
6355.842567,1777547914.877007,frame_6355.842567.jpg
6355.954143,1777547914.988568,frame_6355.954143.jpg
6356.066677,1777547915.101120,frame_6356.066677.jpg
6356.178414,1777547915.212846,frame_6356.178414.jpg
6356.290796,1777547915.325230,frame_6356.290796.jpg
6356.402659,1777547915.437106,frame_6356.402659.jpg
6356.514047,1777547915.548473,frame_6356.514047.jpg
6356.626630,1777547915.661071,frame_6356.626630.jpg
6356.738494,1777547915.772933,frame_6356.738494.jpg
6356.850299,1777547915.884727,frame_6356.850299.jpg
6356.962659,1777547915.997110,frame_6356.962659.jpg
6357.074169,1777547916.108598,frame_6357.074169.jpg
6357.186797,1777547916.221243,frame_6357.186797.jpg
6357.298608,1777547916.333047,frame_6357.298608.jpg
6357.410160,1777547916.444591,frame_6357.410160.jpg
6357.522664,1777547916.557107,frame_6357.522664.jpg
6357.634628,1777547916.669070,frame_6357.634628.jpg
6357.746090,1777547916.780521,frame_6357.746090.jpg
6357.859284,1777547916.893716,frame_6357.859284.jpg
6357.970620,1777547917.005063,frame_6357.970620.jpg
6358.081932,1777547917.116359,frame_6358.081932.jpg
6358.194590,1777547917.229030,frame_6358.194590.jpg
6358.306553,1777547917.340994,frame_6358.306553.jpg
6358.418231,1777547917.452661,frame_6358.418231.jpg
6358.530705,1777547917.565151,frame_6358.530705.jpg
6358.642648,1777547917.677088,frame_6358.642648.jpg
6358.754224,1777547917.788659,frame_6358.754224.jpg
6358.866713,1777547917.901156,frame_6358.866713.jpg
6358.978641,1777547918.013080,frame_6358.978641.jpg
6359.090268,1777547918.124693,frame_6359.090268.jpg
6359.202562,1777547918.237008,frame_6359.202562.jpg
6359.314511,1777547918.348962,frame_6359.314511.jpg
6359.426200,1777547918.460626,frame_6359.426200.jpg
6359.538698,1777547918.573138,frame_6359.538698.jpg
6359.650447,1777547918.684878,frame_6359.650447.jpg
6359.762168,1777547918.796595,frame_6359.762168.jpg
6359.874611,1777547918.909051,frame_6359.874611.jpg
6359.986384,1777547919.020820,frame_6359.986384.jpg
6360.098777,1777547919.133207,frame_6360.098777.jpg
6360.210656,1777547919.245095,frame_6360.210656.jpg
6360.322233,1777547919.356659,frame_6360.322233.jpg
6360.434662,1777547919.469102,frame_6360.434662.jpg
6360.546644,1777547919.581084,frame_6360.546644.jpg
6360.658098,1777547919.692521,frame_6360.658098.jpg
6360.770499,1777547919.804939,frame_6360.770499.jpg
6360.882265,1777547919.916700,frame_6360.882265.jpg
6360.994382,1777547920.028818,frame_6360.994382.jpg
6361.106621,1777547920.141062,frame_6361.106621.jpg
6361.218071,1777547920.252496,frame_6361.218071.jpg
6361.330822,1777547920.365263,frame_6361.330822.jpg
6361.442459,1777547920.476891,frame_6361.442459.jpg
6361.554119,1777547920.588545,frame_6361.554119.jpg
6361.666690,1777547920.701133,frame_6361.666690.jpg
6361.778197,1777547920.812631,frame_6361.778197.jpg
6361.890887,1777547920.925322,frame_6361.890887.jpg
6362.002626,1777547921.037067,frame_6362.002626.jpg
6362.114202,1777547921.148626,frame_6362.114202.jpg
6362.226619,1777547921.261058,frame_6362.226619.jpg
6362.338567,1777547921.373006,frame_6362.338567.jpg
6362.450243,1777547921.484668,frame_6362.450243.jpg
6362.562584,1777547921.597022,frame_6362.562584.jpg
