ts_mono,force_n
6335.007930,-0.001000
6335.075922,-0.001000
6335.142793,-0.001000
6335.208906,-0.001000
6335.274701,-0.001000
6335.340148,-0.001000
6335.407906,-0.001000
6335.475291,-0.001000
6335.545781,-0.001000
6335.611954,-0.001000
6335.680052,-0.001000
6335.753090,-0.001000
6335.819541,-0.001000
6335.886459,-0.001000
6335.961559,-0.001000
6336.026136,-0.001000
6336.094039,-0.001000
6336.160413,-0.001000
6336.228181,-0.001000
6336.297874,-0.004000
6336.364503,0.021000
6336.430552,-0.018000
6336.502994,0.004000
6336.569515,-0.023000
6336.643282,-0.021000
6336.718115,-0.025000
6336.785674,0.006000
6336.856714,-0.021000
6336.924064,0.003000
6336.989740,-0.022000
6337.058072,0.010000
6337.124985,0.002000
6337.197535,-0.014000
6337.266094,-0.001000
6337.332629,-0.011000
6337.399917,-0.001000
6337.466396,0.008000
6337.535133,0.032000
6337.601638,0.040000
6337.669030,0.047000
6337.736484,0.083000
6337.802193,0.085000
6337.875525,0.092000
6337.942211,0.095000
6338.007203,0.211000
6338.074215,0.136000
6338.146883,0.106000
6338.215400,0.098000
6338.284941,0.097000
6338.349916,0.100000
6338.415476,0.100000
6338.483583,0.099000
6338.548995,0.098000
6338.615953,0.098000
6338.683616,0.095000
6338.757434,0.095000
6338.823982,0.095000
6338.891026,0.096000
6338.959647,0.097000
6339.031060,0.094000
6339.104859,0.095000
6339.170059,0.091000
6339.236207,0.092000
6339.303168,0.092000
6339.370047,0.091000
6339.438755,0.091000
6339.505070,0.067000
6339.571606,0.114000
6339.638197,0.094000
6339.704903,0.117000
6339.773547,0.121000
6339.845984,0.126000
6339.914255,0.141000
6339.982034,0.156000
6340.048254,0.181000
6340.116415,0.210000
6340.186115,0.252000
6340.250812,0.272000
6340.318091,0.303000
6340.384837,0.363000
6340.451751,0.378000
6340.519232,0.407000
6340.585412,0.448000
6340.650897,0.466000
6340.717365,0.476000
6340.785318,0.504000
6340.851966,0.521000
6340.918433,0.534000
6340.985334,0.561000
6341.052504,0.550000
6341.123300,0.556000
6341.192118,0.572000
6341.258935,0.549000
6341.326716,0.555000
6341.393143,0.546000
6341.461407,0.543000
6341.528304,0.540000
6341.597195,0.537000
6341.664455,0.534000
6341.735976,0.531000
6341.801330,0.529000
6341.868225,0.524000
6341.935874,0.522000
6342.007342,0.520000
6342.076328,0.517000
6342.142385,0.514000
6342.208978,0.512000
6342.274871,0.509000
6342.343740,0.507000
6342.410088,0.505000
6342.476484,0.503000
6342.543514,0.501000
6342.608870,0.499000
6342.677132,0.497000
6342.744612,0.495000
6342.813924,0.492000
