ts_mono,force_n
6421.499606,1.813000
6421.565668,1.797000
6421.631304,1.787000
6421.698737,1.788000
6421.768157,1.781000
6421.841302,1.774000
6421.908989,1.770000
6421.976478,1.765000
6422.044900,1.761000
6422.116886,1.757000
6422.182074,1.753000
6422.249794,1.748000
6422.318926,1.746000
6422.386578,1.742000
6422.453766,1.738000
6422.521625,1.734000
6422.589703,1.732000
6422.659714,1.728000
6422.728188,1.725000
6422.796165,1.722000
6422.863623,1.719000
6422.932176,1.717000
6423.003403,1.713000
6423.072278,1.712000
6423.140289,1.709000
6423.209248,1.706000
6423.279028,1.705000
6423.351558,1.702000
6423.418266,1.699000
6423.486404,1.697000
6423.559731,1.696000
6423.627733,1.693000
6423.695068,1.691000
6423.763039,1.690000
6423.832534,1.688000
6423.906764,1.707000
6423.974153,1.759000
6424.041586,1.797000
6424.111139,1.829000
6424.177990,1.848000
6424.243443,1.903000
6424.310796,1.943000
6424.377518,2.030000
6424.445055,2.076000
6424.513864,2.139000
6424.579508,2.228000
6424.648090,2.249000
6424.715825,2.342000
6424.783348,2.399000
6424.850871,2.399000
6424.918975,2.413000
6424.988755,2.453000
6425.058317,2.452000
6425.126535,2.459000
6425.194461,2.492000
6425.261884,2.477000
6425.327137,2.479000
6425.394752,2.450000
6425.470733,2.445000
6425.539082,2.448000
6425.607969,2.440000
6425.674570,2.430000
6425.742154,2.429000
6425.812924,2.423000
6425.881758,2.419000
6425.949761,2.415000
6426.019815,2.410000
6426.085903,2.407000
6426.152852,2.403000
6426.220844,2.400000
6426.288484,2.397000
6426.362937,2.393000
6426.435826,2.390000
6426.505277,2.386000
6426.572168,2.384000
6426.639682,2.381000
6426.708297,2.378000
6426.773838,2.376000
6426.841218,2.373000
6426.910479,2.371000
6426.977571,2.368000
6427.048470,2.366000
6427.117128,2.364000
6427.182764,2.361000
6427.250856,2.358000
6427.318152,2.357000
6427.385075,2.355000
6427.452356,2.353000
6427.520956,2.352000
6427.589082,2.349000
6427.655807,2.347000
6427.723038,2.346000
6427.788274,2.344000
6427.855174,2.351000
6427.928823,2.348000
6427.995793,2.347000
6428.061930,2.303000
6428.129446,2.321000
6428.196918,2.296000
6428.266980,2.271000
6428.333314,2.222000
6428.400370,2.179000
6428.468571,2.142000
6428.535869,2.072000
6428.607760,2.004000
6428.674232,1.959000
6428.742609,1.890000
6428.810191,1.884000
6428.878207,1.844000
6428.946725,1.788000
6429.012120,1.764000
6429.080636,1.732000
6429.147732,1.802000
6429.215845,1.472000
6429.284234,1.488000
6429.355516,1.778000
6429.426034,1.686000
6429.495723,1.694000
6429.564985,1.691000
6429.630871,1.673000
6429.696602,1.677000
6429.764657,1.683000
6429.837064,1.690000
6429.905323,1.689000
6429.973572,1.689000
6430.041519,1.692000
6430.111092,1.693000
6430.180449,1.694000
6430.248069,1.697000
6430.315692,1.697000
6430.385102,1.699000
6430.453337,1.699000
6430.520338,1.701000
6430.587599,1.702000
6430.655132,1.702000
6430.727438,1.704000
6430.793845,1.704000
6430.862076,1.705000
6430.929775,1.707000
6430.997853,1.707000
6431.071077,1.709000
6431.138656,1.709000
6431.206089,1.709000
6431.271740,1.700000
6431.344976,1.673000
6431.416052,1.792000
6431.484499,1.906000
6431.553287,1.499000
6431.624978,1.648000
6431.692635,1.597000
6431.762297,1.573000
6431.829309,1.498000
6431.898067,1.468000
6431.969092,1.390000
6432.036881,1.355000
6432.104975,1.273000
6432.173930,1.222000
6432.242037,1.204000
6432.307650,1.174000
6432.382841,1.146000
6432.457079,1.145000
6432.528155,1.089000
6432.594912,1.071000
6432.663346,1.058000
6432.731649,1.079000
6432.799048,1.103000
6432.866336,1.091000
6432.934220,1.102000
6433.002501,1.106000
6433.071813,1.109000
6433.139928,1.110000
6433.206381,1.112000
6433.273039,1.115000
6433.343072,1.117000
6433.414670,1.120000
6433.488961,1.123000
6433.559261,1.125000
6433.626773,1.127000
6433.695045,1.129000
6433.762767,1.131000
6433.834556,1.133000
6433.908519,1.134000
6433.986636,1.124000
6434.053311,1.141000
6434.122973,1.120000
6434.195350,1.095000
6434.263903,1.076000
6434.334216,1.054000
6434.404290,1.048000
6434.473483,1.014000
6434.544621,0.978000
6434.616296,0.926000
6434.687334,0.866000
6434.759615,0.839000
6434.828158,0.798000
6434.895572,0.750000
6434.963144,0.733000
6435.031897,0.707000
6435.103528,0.676000
6435.172577,0.659000
6435.240816,0.628000
6435.308307,0.626000
6435.377197,0.622000
6435.443116,0.636000
6435.511321,0.622000
6435.580579,0.633000
6435.651688,0.640000
6435.721489,0.648000
6435.789579,0.650000
6435.858618,0.653000
6435.928224,0.656000
6435.999115,0.660000
6436.067071,0.662000
6436.135568,0.665000
6436.208412,0.668000
6436.278376,0.670000
6436.344990,0.673000
6436.412213,0.675000
6436.479725,0.678000
6436.549294,0.680000
6436.619396,0.679000
6436.690148,0.685000
6436.759215,0.677000
6436.829356,0.676000
6436.900446,0.626000
6436.970553,0.630000
