ts_mono,ts_wall,image_name
6404.342867,1777547963.377296,frame_6404.342867.jpg
6404.455334,1777547963.489779,frame_6404.455334.jpg
6404.566588,1777547963.601019,frame_6404.566588.jpg
6404.678751,1777547963.713188,frame_6404.678751.jpg
6404.790833,1777547963.825276,frame_6404.790833.jpg
6404.902603,1777547963.937029,frame_6404.902603.jpg
6405.014936,1777547964.049376,frame_6405.014936.jpg
6405.126808,1777547964.161247,frame_6405.126808.jpg
6405.238977,1777547964.273407,frame_6405.238977.jpg
6405.351066,1777547964.385506,frame_6405.351066.jpg
6405.462689,1777547964.497123,frame_6405.462689.jpg
6405.578687,1777547964.613120,frame_6405.578687.jpg
6405.690980,1777547964.725465,frame_6405.690980.jpg
6405.802513,1777547964.836938,frame_6405.802513.jpg
6405.914949,1777547964.949391,frame_6405.914949.jpg
6406.026932,1777547965.061370,frame_6406.026932.jpg
6406.138565,1777547965.172992,frame_6406.138565.jpg
6406.251141,1777547965.285582,frame_6406.251141.jpg
6406.362547,1777547965.396980,frame_6406.362547.jpg
6406.474832,1777547965.509259,frame_6406.474832.jpg
6406.586811,1777547965.621251,frame_6406.586811.jpg
6406.698451,1777547965.732874,frame_6406.698451.jpg
6406.811195,1777547965.845639,frame_6406.811195.jpg
6406.922788,1777547965.957222,frame_6406.922788.jpg
6407.034681,1777547966.069106,frame_6407.034681.jpg
6407.146863,1777547966.181302,frame_6407.146863.jpg
6407.258571,1777547966.293004,frame_6407.258571.jpg
6407.371087,1777547966.405528,frame_6407.371087.jpg
6407.482971,1777547966.517413,frame_6407.482971.jpg
6407.594433,1777547966.628860,frame_6407.594433.jpg
6407.707114,1777547966.741567,frame_6407.707114.jpg
6407.818575,1777547966.853011,frame_6407.818575.jpg
6407.930452,1777547966.964877,frame_6407.930452.jpg
6408.043072,1777547967.077509,frame_6408.043072.jpg
6408.154934,1777547967.189374,frame_6408.154934.jpg
6408.266459,1777547967.300883,frame_6408.266459.jpg
6408.379106,1777547967.413552,frame_6408.379106.jpg
6408.490398,1777547967.524826,frame_6408.490398.jpg
6408.603172,1777547967.637612,frame_6408.603172.jpg
6408.714729,1777547967.749171,frame_6408.714729.jpg
6408.826549,1777547967.860975,frame_6408.826549.jpg
6408.938761,1777547967.973202,frame_6408.938761.jpg
6409.050779,1777547968.085217,frame_6409.050779.jpg
6409.162515,1777547968.196940,frame_6409.162515.jpg
6409.275456,1777547968.309892,frame_6409.275456.jpg
6409.386439,1777547968.420869,frame_6409.386439.jpg
6409.499288,1777547968.533734,frame_6409.499288.jpg
6409.610831,1777547968.645271,frame_6409.610831.jpg
6409.722621,1777547968.757046,frame_6409.722621.jpg
6409.834883,1777547968.869321,frame_6409.834883.jpg
6409.946808,1777547968.981248,frame_6409.946808.jpg
6410.058977,1777547969.093408,frame_6410.058977.jpg
6410.171104,1777547969.205548,frame_6410.171104.jpg
6410.282458,1777547969.316888,frame_6410.282458.jpg
6410.395219,1777547969.429667,frame_6410.395219.jpg
6410.507215,1777547969.541659,frame_6410.507215.jpg
6410.618547,1777547969.652969,frame_6410.618547.jpg
6410.731216,1777547969.765659,frame_6410.731216.jpg
6410.843094,1777547969.877538,frame_6410.843094.jpg
6410.954523,1777547969.988948,frame_6410.954523.jpg
6411.067117,1777547970.101568,frame_6411.067117.jpg
6411.179038,1777547970.213480,frame_6411.179038.jpg
6411.290737,1777547970.325163,frame_6411.290737.jpg
6411.403076,1777547970.437522,frame_6411.403076.jpg
6411.514806,1777547970.549251,frame_6411.514806.jpg
6411.626678,1777547970.661103,frame_6411.626678.jpg
6411.739190,1777547970.773633,frame_6411.739190.jpg
6411.850513,1777547970.884945,frame_6411.850513.jpg
6411.962964,1777547970.997403,frame_6411.962964.jpg
6412.074990,1777547971.109482,frame_6412.074990.jpg
6412.186590,1777547971.221015,frame_6412.186590.jpg
6412.299110,1777547971.333553,frame_6412.299110.jpg
6412.410782,1777547971.445219,frame_6412.410782.jpg
6412.522478,1777547971.556903,frame_6412.522478.jpg
6412.635183,1777547971.669631,frame_6412.635183.jpg
6412.747071,1777547971.781510,frame_6412.747071.jpg
6412.858548,1777547971.892972,frame_6412.858548.jpg
6412.970891,1777547972.005332,frame_6412.970891.jpg
