ts_mono,ts_wall,image_name
6248.865244,1777547807.899674,frame_6248.865244.jpg
6248.977707,1777547808.012154,frame_6248.977707.jpg
6249.089702,1777547808.124141,frame_6249.089702.jpg
6249.201305,1777547808.235739,frame_6249.201305.jpg
6249.313547,1777547808.347986,frame_6249.313547.jpg
6249.425660,1777547808.460099,frame_6249.425660.jpg
6249.537413,1777547808.571850,frame_6249.537413.jpg
6249.649638,1777547808.684079,frame_6249.649638.jpg
6249.761680,1777547808.796118,frame_6249.761680.jpg
6249.873332,1777547808.907760,frame_6249.873332.jpg
6249.985734,1777547809.020169,frame_6249.985734.jpg
6250.097599,1777547809.132038,frame_6250.097599.jpg
6250.209465,1777547809.243905,frame_6250.209465.jpg
6250.323653,1777547809.358084,frame_6250.323653.jpg
6250.433828,1777547809.468269,frame_6250.433828.jpg
6250.545561,1777547809.580000,frame_6250.545561.jpg
6250.657358,1777547809.691785,frame_6250.657358.jpg
6250.769892,1777547809.804347,frame_6250.769892.jpg
6250.881719,1777547809.916161,frame_6250.881719.jpg
6250.993286,1777547810.027710,frame_6250.993286.jpg
6251.105725,1777547810.140172,frame_6251.105725.jpg
6251.217665,1777547810.252102,frame_6251.217665.jpg
6251.329402,1777547810.363840,frame_6251.329402.jpg
6251.441578,1777547810.476010,frame_6251.441578.jpg
6251.554083,1777547810.588528,frame_6251.554083.jpg
6251.665433,1777547810.699869,frame_6251.665433.jpg
6251.777499,1777547810.811929,frame_6251.777499.jpg
6251.889747,1777547810.924189,frame_6251.889747.jpg
6252.001584,1777547811.036014,frame_6252.001584.jpg
6252.113306,1777547811.147733,frame_6252.113306.jpg
6252.225827,1777547811.260269,frame_6252.225827.jpg
6252.337646,1777547811.372084,frame_6252.337646.jpg
6252.449319,1777547811.483746,frame_6252.449319.jpg
6252.561825,1777547811.596267,frame_6252.561825.jpg
6252.673636,1777547811.708075,frame_6252.673636.jpg
6252.785461,1777547811.819890,frame_6252.785461.jpg
6252.897872,1777547811.932316,frame_6252.897872.jpg
6253.009700,1777547812.044140,frame_6253.009700.jpg
6253.121665,1777547812.156097,frame_6253.121665.jpg
6253.233989,1777547812.268470,frame_6253.233989.jpg
6253.345372,1777547812.379805,frame_6253.345372.jpg
6253.461290,1777547812.495718,frame_6253.461290.jpg
6253.573356,1777547812.607789,frame_6253.573356.jpg
6253.685584,1777547812.720028,frame_6253.685584.jpg
6253.797119,1777547812.831544,frame_6253.797119.jpg
6253.909672,1777547812.944113,frame_6253.909672.jpg
6254.021957,1777547813.056410,frame_6254.021957.jpg
6254.133214,1777547813.167652,frame_6254.133214.jpg
6254.246227,1777547813.280660,frame_6254.246227.jpg
6254.357732,1777547813.392174,frame_6254.357732.jpg
6254.469215,1777547813.503648,frame_6254.469215.jpg
6254.581811,1777547813.616242,frame_6254.581811.jpg
6254.693697,1777547813.728140,frame_6254.693697.jpg
6254.805398,1777547813.839835,frame_6254.805398.jpg
6254.917826,1777547813.952259,frame_6254.917826.jpg
6255.029656,1777547814.064103,frame_6255.029656.jpg
6255.141148,1777547814.175574,frame_6255.141148.jpg
6255.253899,1777547814.288346,frame_6255.253899.jpg
6255.365513,1777547814.399947,frame_6255.365513.jpg
6255.477277,1777547814.511705,frame_6255.477277.jpg
6255.589857,1777547814.624301,frame_6255.589857.jpg
6255.701160,1777547814.735589,frame_6255.701160.jpg
6255.813859,1777547814.848302,frame_6255.813859.jpg
6255.925789,1777547814.960235,frame_6255.925789.jpg
6256.037231,1777547815.071659,frame_6256.037231.jpg
6256.149753,1777547815.184200,frame_6256.149753.jpg
6256.261708,1777547815.296153,frame_6256.261708.jpg
6256.373200,1777547815.407629,frame_6256.373200.jpg
6256.485648,1777547815.520088,frame_6256.485648.jpg
6256.597694,1777547815.632137,frame_6256.597694.jpg
6256.709364,1777547815.743801,frame_6256.709364.jpg
6256.821659,1777547815.856089,frame_6256.821659.jpg
6256.934051,1777547815.968497,frame_6256.934051.jpg
6257.045548,1777547816.079988,frame_6257.045548.jpg
6257.157150,1777547816.191576,frame_6257.157150.jpg
6257.269869,1777547816.304311,frame_6257.269869.jpg
6257.381630,1777547816.416069,frame_6257.381630.jpg
6257.493217,1777547816.527644,frame_6257.493217.jpg
6257.605997,1777547816.640465,frame_6257.605997.jpg
6257.717595,1777547816.752037,frame_6257.717595.jpg
6257.829350,1777547816.863775,frame_6257.829350.jpg
6257.941886,1777547816.976325,frame_6257.941886.jpg
6258.053687,1777547817.088129,frame_6258.053687.jpg
6258.165233,1777547817.199658,frame_6258.165233.jpg
6258.277916,1777547817.312361,frame_6258.277916.jpg
6258.389683,1777547817.424128,frame_6258.389683.jpg
6258.501299,1777547817.535725,frame_6258.501299.jpg
6258.613579,1777547817.648020,frame_6258.613579.jpg
6258.725731,1777547817.760177,frame_6258.725731.jpg
6258.837198,1777547817.871633,frame_6258.837198.jpg
6258.949819,1777547817.984262,frame_6258.949819.jpg
6259.061738,1777547818.096193,frame_6259.061738.jpg
6259.173229,1777547818.207663,frame_6259.173229.jpg
6259.285705,1777547818.320139,frame_6259.285705.jpg
6259.397641,1777547818.432078,frame_6259.397641.jpg
6259.509503,1777547818.543944,frame_6259.509503.jpg
6259.621507,1777547818.655935,frame_6259.621507.jpg
6259.733844,1777547818.768287,frame_6259.733844.jpg
6259.845673,1777547818.880120,frame_6259.845673.jpg
6259.957392,1777547818.991819,frame_6259.957392.jpg
6260.069630,1777547819.104072,frame_6260.069630.jpg
6260.181276,1777547819.215713,frame_6260.181276.jpg
6260.293636,1777547819.328068,frame_6260.293636.jpg
6260.405911,1777547819.440355,frame_6260.405911.jpg
6260.517420,1777547819.551856,frame_6260.517420.jpg
6260.629798,1777547819.664231,frame_6260.629798.jpg
6260.741780,1777547819.776223,frame_6260.741780.jpg
6260.853245,1777547819.887681,frame_6260.853245.jpg
6260.965953,1777547820.000400,frame_6260.965953.jpg
6261.077943,1777547820.112386,frame_6261.077943.jpg
6261.189373,1777547820.223803,frame_6261.189373.jpg
6261.301597,1777547820.336027,frame_6261.301597.jpg
6261.413721,1777547820.448164,frame_6261.413721.jpg
6261.525324,1777547820.559758,frame_6261.525324.jpg
6261.637720,1777547820.672148,frame_6261.637720.jpg
6261.749729,1777547820.784165,frame_6261.749729.jpg
6261.861621,1777547820.896072,frame_6261.861621.jpg
6261.973494,1777547821.007921,frame_6261.973494.jpg
6262.085814,1777547821.120256,frame_6262.085814.jpg
6262.197359,1777547821.231792,frame_6262.197359.jpg
6262.309837,1777547821.344281,frame_6262.309837.jpg
6262.421844,1777547821.456287,frame_6262.421844.jpg
6262.533200,1777547821.567630,frame_6262.533200.jpg
6262.645583,1777547821.680013,frame_6262.645583.jpg
6262.757892,1777547821.792333,frame_6262.757892.jpg
6262.869602,1777547821.904042,frame_6262.869602.jpg
6262.981432,1777547822.015857,frame_6262.981432.jpg
6263.093943,1777547822.128390,frame_6263.093943.jpg
6263.205552,1777547822.239990,frame_6263.205552.jpg
6263.317522,1777547822.351950,frame_6263.317522.jpg
6263.429936,1777547822.464379,frame_6263.429936.jpg
6263.541582,1777547822.576013,frame_6263.541582.jpg
6263.653412,1777547822.687839,frame_6263.653412.jpg
6263.766095,1777547822.800542,frame_6263.766095.jpg
6263.877763,1777547822.912199,frame_6263.877763.jpg
6263.989640,1777547823.024064,frame_6263.989640.jpg
