ts_mono,force_n
6248.852782,0.000000
6248.920333,0.000000
6248.986414,0.000000
6249.050816,0.000000
6249.118647,0.000000
6249.184538,0.000000
6249.250831,0.000000
6249.318053,0.000000
6249.387748,0.000000
6249.453691,0.000000
6249.518716,0.000000
6249.582941,0.000000
6249.651090,0.000000
6249.717681,0.000000
6249.786758,0.000000
6249.853380,0.000000
6249.923490,0.000000
6249.987567,0.000000
6250.055282,0.000000
6250.123792,0.000000
6250.190079,0.000000
6250.256673,0.000000
6250.321251,0.000000
6250.388585,-0.004000
6250.453743,0.009000
6250.518630,0.014000
6250.583310,0.025000
6250.649283,-0.020000
6250.718477,-0.014000
6250.782693,-0.012000
6250.847329,0.008000
6250.914152,0.011000
6250.980636,0.015000
6251.046834,0.023000
6251.113797,0.040000
6251.177855,0.053000
6251.242695,0.070000
6251.308078,0.084000
6251.372673,0.096000
6251.439061,0.083000
6251.506931,0.113000
6251.572114,0.082000
6251.641256,0.078000
6251.707411,0.121000
6251.773607,0.116000
6251.846642,0.108000
6251.911532,0.108000
6251.976848,0.108000
6252.042732,0.107000
6252.109083,0.106000
6252.175684,0.106000
6252.241708,0.105000
6252.306600,0.105000
6252.374881,0.104000
6252.443257,0.103000
6252.513048,0.103000
6252.579063,0.102000
6252.645514,0.102000
6252.711484,0.101000
6252.783110,0.100000
6252.850537,0.100000
6252.916655,0.099000
6252.982663,0.099000
6253.050734,0.098000
6253.117213,0.098000
6253.191160,0.097000
6253.257420,0.097000
6253.322536,0.097000
6253.388862,0.096000
6253.454640,0.096000
6253.523177,0.085000
6253.587558,0.077000
6253.652377,0.078000
6253.717554,0.132000
6253.784038,0.092000
6253.851312,0.138000
6253.916739,0.150000
6253.982733,0.147000
6254.046459,0.174000
6254.112558,0.189000
6254.178791,0.223000
6254.244812,0.238000
6254.315611,0.262000
6254.382243,0.279000
6254.447322,0.302000
6254.513224,0.294000
6254.578715,0.287000
6254.651255,0.304000
6254.717292,0.328000
6254.782211,0.333000
6254.849098,0.322000
6254.915306,0.315000
6254.992154,0.314000
6255.062933,0.312000
6255.131958,0.311000
6255.204932,0.308000
6255.275979,0.306000
6255.342170,0.304000
6255.406257,0.303000
6255.471272,0.301000
6255.544540,0.300000
6255.611162,0.298000
6255.680709,0.295000
6255.751421,0.295000
6255.817447,0.294000
6255.887933,0.292000
6255.953713,0.290000
6256.026814,0.290000
6256.094925,0.288000
6256.161276,0.287000
6256.225901,0.287000
6256.292580,0.285000
6256.358386,0.284000
6256.423786,0.282000
6256.489164,0.282000
6256.557333,0.275000
6256.622655,0.261000
6256.689343,0.298000
6256.755808,0.279000
6256.824048,0.314000
6256.890428,0.321000
6256.956442,0.336000
6257.020771,0.359000
6257.086991,0.384000
6257.152402,0.410000
6257.222962,0.436000
6257.287186,0.465000
6257.352696,0.477000
6257.418112,0.502000
6257.484712,0.508000
6257.555942,0.551000
6257.622954,0.514000
6257.688833,0.540000
6257.755462,0.549000
6257.820522,0.518000
6257.894109,0.528000
6257.958501,0.521000
6258.024418,0.520000
6258.089567,0.518000
6258.154069,0.515000
6258.223619,0.513000
6258.289551,0.511000
6258.353984,0.508000
6258.420536,0.508000
6258.489409,0.505000
6258.554875,0.503000
6258.620425,0.502000
6258.686605,0.500000
6258.751626,0.498000
6258.817928,0.497000
6258.885397,0.495000
6258.952392,0.494000
6259.019180,0.499000
6259.089216,0.489000
6259.154982,0.504000
6259.220539,0.528000
6259.287835,0.527000
6259.353305,0.554000
6259.418539,0.570000
6259.484213,0.592000
6259.550760,0.614000
6259.617498,0.642000
6259.685085,0.665000
6259.751141,0.693000
6259.819076,0.715000
6259.882811,0.747000
6259.948048,0.761000
6260.018113,0.791000
6260.084404,0.787000
6260.153499,0.767000
6260.225382,0.786000
6260.292049,0.763000
6260.361214,0.767000
6260.428793,0.765000
6260.494675,0.762000
6260.560560,0.758000
6260.628192,0.756000
6260.701515,0.753000
6260.767360,0.750000
6260.835138,0.748000
6260.899260,0.746000
6260.969838,0.743000
6261.036339,0.741000
6261.100766,0.739000
6261.168403,0.737000
6261.233945,0.735000
6261.299517,0.734000
6261.367992,0.732000
6261.435720,0.729000
6261.504759,0.727000
6261.570544,0.726000
6261.636970,0.724000
6261.702900,0.716000
6261.768410,0.742000
6261.834135,0.779000
6261.901126,0.756000
6261.968955,0.776000
6262.042358,0.788000
6262.113234,0.821000
6262.179268,0.863000
6262.245992,0.893000
6262.313636,0.941000
6262.379293,0.966000
6262.445752,0.992000
6262.511323,1.016000
6262.577758,1.039000
6262.644484,1.072000
6262.711269,1.065000
6262.776979,1.061000
6262.841628,1.105000
6262.906219,1.089000
6262.972203,1.075000
6263.044187,1.065000
6263.114339,1.063000
6263.180346,1.060000
6263.245894,1.057000
6263.313142,1.053000
6263.381228,1.050000
6263.447497,1.047000
6263.512032,1.045000
6263.577701,1.042000
6263.648777,1.040000
6263.720211,1.037000
6263.786111,1.034000
6263.852423,1.033000
6263.916337,1.030000
6263.982981,1.029000
6264.055951,1.026000
6264.121976,1.015000
6264.187030,1.023000
6264.254917,1.055000
6264.317143,1.083000
6264.384101,1.073000
6264.450385,1.095000
6264.518473,1.106000
6264.585747,1.149000
6264.651472,1.181000
6264.720493,1.225000
6264.787454,1.280000
6264.854649,1.295000
6264.919353,1.317000
6264.989575,1.360000
6265.060148,1.373000
6265.127294,1.374000
6265.193564,1.519000
6265.259344,1.312000
6265.324944,1.388000
6265.398398,1.398000
6265.461936,1.394000
6265.527333,1.388000
6265.594224,1.397000
