ts_mono,force_n
6532.854996,-0.001000
6532.923981,-0.001000
6532.998086,-0.001000
6533.065063,-0.001000
6533.133629,-0.001000
6533.203726,-0.001000
6533.272488,-0.001000
6533.346062,-0.001000
6533.414463,-0.001000
6533.482943,-0.001000
6533.556158,-0.001000
6533.623919,-0.001000
6533.694361,-0.001000
6533.762961,-0.001000
6533.830400,-0.001000
6533.902030,-0.001000
6533.972898,-0.001000
6534.044544,-0.001000
6534.116109,-0.001000
6534.187314,-0.001000
6534.255601,-0.001000
6534.324858,-0.001000
6534.393525,-0.001000
6534.465693,-0.004000
6534.536231,-0.009000
6534.606739,-0.010000
6534.679552,0.031000
6534.750875,-0.012000
6534.818286,0.022000
6534.886857,0.008000
6534.956428,0.006000
6535.026321,0.009000
6535.095088,-0.002000
6535.163376,-0.005000
6535.232650,-0.007000
6535.300267,0.010000
6535.369249,0.009000
6535.437087,-0.009000
6535.504975,-0.009000
6535.579759,-0.016000
6535.652828,-0.010000
6535.721800,-0.017000
6535.796625,-0.009000
6535.866882,0.006000
6535.933809,-0.011000
6536.006912,-0.014000
6536.077055,-0.007000
6536.147685,-0.009000
6536.216962,-0.008000
6536.286264,-0.011000
6536.362037,0.005000
6536.436756,-0.001000
6536.504743,0.003000
6536.573184,-0.002000
6536.648568,0.002000
6536.716439,-0.004000
6536.787249,0.001000
6536.856887,0.000000
6536.933189,-0.002000
6537.001350,-0.001000
6537.070722,-0.001000
6537.146327,0.006000
6537.215656,0.016000
6537.284552,0.003000
6537.357573,-0.009000
6537.427966,-0.017000
6537.496665,-0.006000
6537.568931,0.008000
6537.636631,-0.010000
6537.711705,-0.011000
6537.780134,-0.008000
6537.849306,-0.003000
6537.917148,0.049000
6537.986478,0.075000
6538.054586,0.105000
6538.123939,0.155000
6538.197506,0.187000
6538.270051,0.200000
6538.337690,0.255000
6538.405911,0.281000
6538.474817,0.299000
6538.544110,0.325000
6538.614564,0.351000
6538.683797,0.365000
6538.754217,0.383000
6538.828204,0.404000
6538.901244,0.453000
6538.970186,0.428000
6539.041643,0.425000
6539.111756,0.432000
6539.179785,0.413000
6539.248041,0.418000
6539.317147,0.418000
6539.390951,0.412000
6539.459404,0.404000
6539.528286,0.401000
6539.606877,0.400000
6539.673896,0.397000
6539.742334,0.395000
6539.810305,0.392000
6539.879892,0.390000
6539.953821,0.386000
6540.020552,0.391000
6540.091023,0.384000
6540.162148,0.382000
6540.232877,0.381000
6540.303983,0.382000
6540.371566,0.372000
6540.439157,0.378000
6540.513581,0.373000
6540.583193,0.375000
6540.654392,0.369000
6540.729445,0.361000
6540.806193,0.369000
6540.875269,0.352000
6540.942464,0.376000
6541.015909,0.371000
6541.083969,0.410000
6541.153482,0.411000
6541.222211,0.427000
6541.295721,0.457000
6541.363723,0.480000
6541.432311,0.525000
6541.501157,0.552000
6541.570431,0.594000
6541.640102,0.650000
6541.711655,0.689000
6541.780389,0.742000
6541.854335,0.801000
6541.929703,0.857000
6542.002331,0.892000
6542.073137,0.924000
6542.140777,0.978000
6542.209381,1.003000
6542.278312,1.023000
6542.347343,1.054000
6542.419285,1.082000
6542.486792,1.109000
6542.556624,1.080000
6542.626633,1.104000
6542.696773,1.094000
6542.765752,1.111000
6542.834357,1.102000
6542.902920,1.093000
6542.974758,1.087000
6543.044514,1.081000
6543.113291,1.077000
6543.181851,1.070000
6543.251174,1.063000
6543.320906,1.062000
6543.391400,1.058000
6543.460468,1.051000
6543.537463,1.048000
6543.607708,1.044000
6543.675844,1.040000
6543.747971,1.036000
6543.819923,1.033000
6543.889874,1.030000
6543.961687,1.026000
6544.032614,1.022000
6544.103513,1.019000
6544.172846,1.016000
6544.241416,1.014000
6544.316540,1.010000
6544.385640,1.007000
6544.456776,1.004000
6544.526075,1.002000
6544.596180,1.000000
6544.664745,0.998000
6544.731618,1.033000
6544.801328,1.019000
6544.871155,1.019000
6544.941721,1.037000
6545.010275,1.052000
6545.079689,1.072000
6545.149658,1.098000
6545.220989,1.160000
6545.291325,1.201000
6545.361083,1.238000
6545.434614,1.281000
6545.504761,1.352000
6545.573989,1.419000
6545.642220,1.511000
6545.711755,1.587000
6545.781120,1.646000
6545.849545,1.722000
6545.919728,1.791000
6545.991564,1.868000
6546.060157,1.909000
6546.128062,1.945000
6546.198123,1.967000
6546.268084,2.006000
6546.337954,2.051000
6546.407566,2.080000
6546.478544,1.919000
6546.550163,2.166000
6546.618976,2.097000
6546.687107,2.051000
6546.755958,2.040000
6546.825039,2.032000
6546.896877,2.035000
6546.964532,2.026000
6547.036235,2.020000
6547.107121,2.013000
6547.178304,2.007000
6547.246414,2.001000
6547.315676,1.995000
6547.385919,1.987000
6547.462656,1.982000
6547.532314,1.977000
6547.599822,1.974000
6547.679324,1.968000
6547.748124,1.965000
6547.818126,1.958000
6547.891976,1.955000
6547.961121,1.952000
6548.031573,1.949000
6548.103671,1.945000
6548.174071,1.942000
6548.248466,1.938000
6548.318417,1.935000
6548.388915,1.931000
6548.461753,1.930000
6548.530916,1.927000
6548.600526,1.923000
6548.669548,1.919000
6548.738851,1.919000
6548.806804,1.914000
6548.876209,1.911000
6548.944339,1.907000
6549.014954,1.909000
6549.083960,1.906000
6549.152496,1.903000
6549.221765,1.901000
6549.289887,1.899000
6549.361589,1.897000
6549.431807,1.896000
6549.501898,1.893000
6549.573094,1.891000
6549.644252,1.890000
6549.712733,1.887000
6549.781727,1.886000
6549.851123,1.884000
6549.922070,1.883000
6549.989637,1.881000
