ts_mono,force_n
6592.605292,-0.001000
6592.672278,-0.001000
6592.742611,-0.001000
6592.814220,-0.001000
6592.885997,-0.001000
6592.954520,-0.001000
6593.024147,-0.001000
6593.094394,-0.001000
6593.164710,-0.001000
6593.236475,-0.001000
6593.307286,-0.001000
6593.382072,-0.001000
6593.451497,-0.001000
6593.521168,-0.001000
6593.590331,-0.001000
6593.666763,-0.001000
6593.737039,-0.001000
6593.815880,-0.001000
6593.891061,-0.001000
6593.966711,-0.001000
6594.045579,-0.009000
6594.117405,0.006000
6594.186263,-0.057000
6594.256191,-0.104000
6594.326449,-0.025000
6594.397231,-0.021000
6594.465790,-0.019000
6594.536203,-0.006000
6594.611890,0.010000
6594.682864,-0.004000
6594.754426,0.003000
6594.824875,0.005000
6594.897261,0.000000
6594.971788,0.017000
6595.043425,0.063000
6595.115891,0.072000
6595.185567,0.091000
6595.255062,0.112000
6595.323397,0.115000
6595.402513,0.134000
6595.472173,0.139000
6595.543267,0.163000
6595.619102,0.147000
6595.693148,0.138000
6595.764999,0.142000
6595.834939,0.137000
6595.905273,0.137000
6595.974482,0.137000
6596.043250,0.137000
6596.113306,0.133000
6596.185434,0.132000
6596.254773,0.133000
6596.323952,0.133000
6596.396345,0.132000
6596.465872,0.133000
6596.536464,0.128000
6596.611935,0.129000
6596.685024,0.128000
6596.752993,0.128000
6596.823503,0.129000
6596.893860,0.124000
6596.969429,0.126000
6597.036895,0.125000
6597.109114,0.123000
6597.181218,0.124000
6597.251278,0.123000
6597.320211,0.123000
6597.390182,0.125000
6597.458685,0.134000
6597.531301,0.101000
6597.603843,0.105000
6597.679717,0.178000
6597.751802,0.160000
6597.821115,0.165000
6597.890706,0.188000
6597.963276,0.219000
6598.040286,0.242000
6598.112820,0.286000
6598.189629,0.325000
6598.258028,0.362000
6598.327226,0.388000
6598.396612,0.403000
6598.466305,0.449000
6598.542800,0.479000
6598.612939,0.508000
6598.683970,0.522000
6598.762051,0.544000
6598.834293,0.561000
6598.904930,0.531000
6598.981267,0.564000
6599.051306,0.543000
6599.120981,0.546000
6599.189210,0.552000
6599.259756,0.547000
6599.330284,0.543000
6599.401043,0.541000
6599.471516,0.537000
6599.547057,0.534000
6599.618342,0.530000
6599.691237,0.528000
6599.765158,0.524000
6599.835628,0.522000
6599.907885,0.519000
6599.980782,0.516000
6600.048672,0.512000
6600.118253,0.512000
6600.187075,0.509000
6600.256478,0.516000
6600.330516,0.527000
6600.406304,0.520000
6600.480800,0.536000
6600.561167,0.557000
6600.633101,0.567000
6600.702426,0.599000
6600.776948,0.618000
6600.847981,0.655000
6600.926614,0.698000
6601.004699,0.739000
6601.075717,0.780000
6601.146204,0.823000
6601.220761,0.880000
6601.294623,0.909000
6601.367286,0.951000
6601.445223,0.978000
6601.523298,0.989000
6601.596821,1.026000
6601.671308,1.069000
6601.746490,1.033000
6601.823714,1.062000
6601.902523,1.043000
6601.977968,1.046000
6602.048712,1.042000
6602.121984,1.036000
6602.191519,1.031000
6602.262949,1.026000
6602.335529,1.022000
6602.412519,1.017000
6602.481468,1.012000
6602.553790,1.009000
6602.632958,1.005000
6602.706467,1.001000
6602.784911,0.996000
6602.857448,0.993000
6602.928723,0.990000
6603.001489,0.987000
6603.076579,0.982000
6603.145333,0.980000
6603.215509,0.993000
6603.287114,0.978000
6603.361416,1.034000
6603.432441,1.038000
6603.504929,1.042000
6603.578885,1.067000
6603.650922,1.094000
6603.724503,1.156000
6603.797319,1.180000
6603.869303,1.252000
6603.939585,1.305000
6604.018490,1.367000
6604.088722,1.436000
6604.159429,1.503000
6604.228118,1.532000
6604.295031,1.553000
6604.365960,1.617000
6604.436272,1.640000
6604.506286,1.672000
6604.581689,1.667000
6604.650990,1.562000
6604.719924,1.670000
6604.790776,1.710000
6604.862202,1.693000
6604.930864,1.697000
6605.002451,1.674000
6605.071580,1.675000
6605.144814,1.670000
6605.217611,1.664000
6605.289776,1.657000
6605.359666,1.652000
6605.429596,1.647000
6605.501028,1.642000
6605.569949,1.638000
6605.639508,1.634000
6605.710137,1.630000
6605.780696,1.627000
6605.851686,1.622000
6605.922792,1.617000
6605.993523,1.615000
6606.063529,1.611000
6606.135754,1.608000
6606.205905,1.605000
6606.275289,1.602000
6606.346924,1.599000
6606.416061,1.596000
6606.493842,1.593000
6606.563769,1.590000
6606.634602,1.587000
6606.709875,1.585000
6606.781388,1.582000
6606.854208,1.580000
6606.931754,1.577000
6607.002950,1.579000
6607.072528,1.606000
6607.142967,1.596000
6607.218738,1.671000
6607.288520,1.662000
