ts_mono,ts_wall,image_name
6592.644539,1777548151.678985,frame_6592.644539.jpg
6592.756031,1777548151.790457,frame_6592.756031.jpg
6592.868354,1777548151.902797,frame_6592.868354.jpg
6592.979948,1777548152.014378,frame_6592.979948.jpg
6593.092506,1777548152.126939,frame_6593.092506.jpg
6593.204074,1777548152.238511,frame_6593.204074.jpg
6593.315863,1777548152.350287,frame_6593.315863.jpg
6593.428368,1777548152.462811,frame_6593.428368.jpg
6593.539934,1777548152.574360,frame_6593.539934.jpg
6593.652386,1777548152.686827,frame_6593.652386.jpg
6593.764372,1777548152.798797,frame_6593.764372.jpg
6593.876404,1777548152.910846,frame_6593.876404.jpg
6593.987907,1777548153.022332,frame_6593.987907.jpg
6594.100552,1777548153.135000,frame_6594.100552.jpg
6594.212084,1777548153.246517,frame_6594.212084.jpg
6594.324328,1777548153.358768,frame_6594.324328.jpg
6594.436610,1777548153.471054,frame_6594.436610.jpg
6594.548031,1777548153.582456,frame_6594.548031.jpg
6594.660331,1777548153.694771,frame_6594.660331.jpg
6594.771997,1777548153.806442,frame_6594.771997.jpg
6594.884527,1777548153.918971,frame_6594.884527.jpg
6594.995944,1777548154.030374,frame_6594.995944.jpg
6595.108489,1777548154.142932,frame_6595.108489.jpg
6595.220387,1777548154.254824,frame_6595.220387.jpg
6595.332044,1777548154.366469,frame_6595.332044.jpg
6595.444456,1777548154.478898,frame_6595.444456.jpg
6595.556049,1777548154.590474,frame_6595.556049.jpg
6595.668504,1777548154.702948,frame_6595.668504.jpg
6595.780146,1777548154.814570,frame_6595.780146.jpg
6595.892689,1777548154.927138,frame_6595.892689.jpg
6596.004197,1777548155.038633,frame_6596.004197.jpg
6596.116235,1777548155.150665,frame_6596.116235.jpg
6596.228507,1777548155.262949,frame_6596.228507.jpg
6596.339930,1777548155.374355,frame_6596.339930.jpg
6596.452512,1777548155.486954,frame_6596.452512.jpg
6596.563870,1777548155.598302,frame_6596.563870.jpg
6596.676220,1777548155.710652,frame_6596.676220.jpg
6596.788348,1777548155.822793,frame_6596.788348.jpg
6596.900079,1777548155.934505,frame_6596.900079.jpg
6597.012437,1777548156.046879,frame_6597.012437.jpg
6597.123911,1777548156.158335,frame_6597.123911.jpg
6597.236582,1777548156.271025,frame_6597.236582.jpg
6597.348354,1777548156.382792,frame_6597.348354.jpg
6597.460314,1777548156.494745,frame_6597.460314.jpg
6597.572367,1777548156.606810,frame_6597.572367.jpg
6597.684237,1777548156.718665,frame_6597.684237.jpg
6597.796733,1777548156.831176,frame_6597.796733.jpg
6597.907912,1777548156.942336,frame_6597.907912.jpg
6598.020546,1777548157.054989,frame_6598.020546.jpg
6598.131956,1777548157.166381,frame_6598.131956.jpg
6598.244678,1777548157.279123,frame_6598.244678.jpg
6598.356172,1777548157.390602,frame_6598.356172.jpg
6598.468279,1777548157.502711,frame_6598.468279.jpg
6598.580573,1777548157.615015,frame_6598.580573.jpg
6598.692127,1777548157.726554,frame_6598.692127.jpg
6598.804509,1777548157.838949,frame_6598.804509.jpg
6598.916076,1777548157.950503,frame_6598.916076.jpg
6599.028478,1777548158.062918,frame_6599.028478.jpg
6599.140037,1777548158.174468,frame_6599.140037.jpg
6599.252555,1777548158.286998,frame_6599.252555.jpg
6599.364411,1777548158.398857,frame_6599.364411.jpg
6599.476269,1777548158.510698,frame_6599.476269.jpg
6599.588501,1777548158.622945,frame_6599.588501.jpg
6599.700156,1777548158.734581,frame_6599.700156.jpg
6599.812577,1777548158.847021,frame_6599.812577.jpg
6599.924058,1777548158.958483,frame_6599.924058.jpg
6600.036534,1777548159.070975,frame_6600.036534.jpg
6600.148349,1777548159.182790,frame_6600.148349.jpg
6600.260162,1777548159.294589,frame_6600.260162.jpg
6600.372467,1777548159.406910,frame_6600.372467.jpg
6600.484611,1777548159.519042,frame_6600.484611.jpg
6600.596396,1777548159.630836,frame_6600.596396.jpg
6600.708120,1777548159.742547,frame_6600.708120.jpg
6600.820644,1777548159.855091,frame_6600.820644.jpg
6600.932075,1777548159.966501,frame_6600.932075.jpg
6601.044579,1777548160.079021,frame_6601.044579.jpg
6601.156060,1777548160.190485,frame_6601.156060.jpg
6601.268609,1777548160.303068,frame_6601.268609.jpg
6601.379931,1777548160.414355,frame_6601.379931.jpg
6601.492530,1777548160.526976,frame_6601.492530.jpg
6601.604151,1777548160.638577,frame_6601.604151.jpg
6601.716568,1777548160.751011,frame_6601.716568.jpg
6601.828169,1777548160.862597,frame_6601.828169.jpg
6601.940513,1777548160.974956,frame_6601.940513.jpg
6602.052367,1777548161.086800,frame_6602.052367.jpg
6602.164616,1777548161.199059,frame_6602.164616.jpg
6602.276130,1777548161.310553,frame_6602.276130.jpg
6602.388442,1777548161.422886,frame_6602.388442.jpg
6602.500105,1777548161.534532,frame_6602.500105.jpg
6602.612732,1777548161.647185,frame_6602.612732.jpg
6602.723970,1777548161.758394,frame_6602.723970.jpg
6602.836685,1777548161.871132,frame_6602.836685.jpg
6602.947866,1777548161.982290,frame_6602.947866.jpg
6603.060697,1777548162.095142,frame_6603.060697.jpg
6603.172112,1777548162.206548,frame_6603.172112.jpg
