ts_mono,force_n
6454.356758,-0.001000
6454.430340,-0.001000
6454.499461,-0.001000
6454.571377,-0.001000
6454.640381,-0.001000
6454.712137,-0.001000
6454.780267,-0.001000
6454.849797,-0.001000
6454.919949,-0.001000
6454.994149,-0.001000
6455.063595,-0.001000
6455.133829,-0.001000
6455.201406,-0.001000
6455.271592,-0.001000
6455.339734,-0.001000
6455.408548,-0.001000
6455.482380,-0.001000
6455.554680,-0.001000
6455.625906,-0.001000
6455.693577,-0.001000
6455.762382,-0.001000
6455.832032,-0.001000
6455.899584,-0.001000
6455.969352,-0.001000
6456.039814,0.002000
6456.107165,0.023000
6456.181515,-0.009000
6456.249849,0.009000
6456.317893,0.008000
6456.384806,-0.001000
6456.453253,-0.010000
6456.522533,-0.005000
6456.590842,0.017000
6456.658561,0.019000
6456.728260,0.004000
6456.796797,0.007000
6456.866078,0.006000
6456.938829,-0.006000
6457.007966,-0.007000
6457.076308,-0.005000
6457.144481,0.000000
6457.214544,-0.003000
6457.284224,-0.004000
6457.352863,-0.001000
6457.420403,0.000000
6457.488433,-0.002000
6457.561127,-0.002000
6457.629182,-0.002000
6457.696219,-0.001000
6457.764554,-0.001000
6457.836626,-0.001000
6457.904853,-0.001000
6457.972894,-0.001000
6458.041805,-0.001000
6458.109291,-0.003000
6458.184894,-0.004000
6458.253039,0.008000
6458.320912,0.028000
6458.394821,0.025000
6458.463191,-0.015000
6458.531442,-0.012000
6458.599215,0.016000
6458.667527,0.009000
6458.738586,0.000000
6458.805546,0.025000
6458.873824,0.037000
6458.942321,0.029000
6459.009894,-0.013000
6459.084915,0.012000
6459.158414,0.008000
6459.228377,0.009000
6459.301451,0.007000
6459.373588,0.007000
6459.441917,0.004000
6459.513655,0.011000
6459.580735,0.006000
6459.649344,0.004000
6459.724328,0.007000
6459.796118,0.007000
6459.870870,0.007000
6459.943694,0.007000
6460.009355,0.006000
6460.081441,0.009000
6460.150981,0.007000
6460.217988,0.002000
6460.285297,0.001000
6460.353667,0.030000
6460.425577,0.056000
6460.494284,0.032000
6460.563059,0.047000
6460.634101,0.037000
6460.702071,0.056000
6460.769277,0.071000
6460.837437,0.058000
6460.907055,0.063000
6460.976985,0.095000
6461.045151,0.108000
6461.119039,0.096000
6461.187522,0.084000
6461.256178,0.091000
6461.324802,0.093000
